
        aeat         rho           p          cp           t         isp          ae          cf
   0.0000E+00  1.8122E+01  1.8964E+01  2.3305E+02  5.7083E+00  3.8283E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1192E+01  1.1696E+01  1.3475E+02  5.6953E+00  3.6366E+03  1.1418E+03  1.0000E+00
   0.0000E+00  1.8754E+01  1.9767E+01  2.4318E+02  5.6771E+00  3.8347E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1583E+01  1.2193E+01  1.4059E+02  5.6639E+00  3.6422E+03  1.1425E+03  1.0000E+00
   0.0000E+00  1.9386E+01  2.0571E+01  2.5331E+02  5.6474E+00  3.8407E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1973E+01  1.2688E+01  1.4644E+02  5.6340E+00  3.6475E+03  1.1431E+03  1.0000E+00
   0.0000E+00  9.3594E+00  2.1373E+01  2.6344E+02  5.6190E+00  3.8466E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.7765E+00  1.3183E+01  1.5229E+02  5.6054E+00  3.6526E+03  1.1437E+03  1.0000E+00
   0.0000E+00  1.0010E+01  2.2175E+01  2.7358E+02  5.5919E+00  3.8522E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.1785E+00  1.3678E+01  1.5814E+02  5.5781E+00  3.6576E+03  1.1442E+03  1.0000E+00
   0.0000E+00  1.0660E+01  2.2976E+01  2.8371E+02  5.5659E+00  3.8576E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.5799E+00  1.4173E+01  1.6399E+02  5.5519E+00  3.6623E+03  1.1448E+03  1.0000E+00
   0.0000E+00  1.1309E+01  2.3776E+01  2.9384E+02  5.5409E+00  3.8628E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.9807E+00  1.4667E+01  1.6984E+02  5.5267E+00  3.6669E+03  1.1453E+03  1.0000E+00
   0.0000E+00  1.1957E+01  2.4576E+01  3.0398E+02  5.5169E+00  3.8679E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.3809E+00  1.5160E+01  1.7568E+02  5.5025E+00  3.6714E+03  1.1458E+03  1.0000E+00
   0.0000E+00  1.2604E+01  1.1839E+01  1.4185E+02  5.9332E+00  3.7369E+03  0.0000E+00  0.0000E+00
